,date,problem,citationIssued,personSearch,vehicleSearch,preRace,race,gender,lat,long,policePrecinct,neighborhood
6886,2017-01-01 19:04:14,suspicious,,YES,YES,Unknown,Black,Female,44.99914804,-93.29181556,4,Near - North
6887,2017-01-01 19:07:14,traffic,,NO,NO,Unknown,East African,Male,44.96269,-93.26895,3,Ventura Village
6888,2017-01-01 20:16:32,traffic,,NO,NO,Black,Black,Female,44.95646,-93.24735,3,East Phillips
6890,2017-01-01 20:59:02,traffic,,NO,NO,Unknown,East African,Male,45.03554,-93.26289,2,Columbia Park
6891,2017-01-01 21:27:17,traffic,,NO,NO,Unknown,White,Female,44.93863463,-93.2779141,5,Lyndale
6892,2017-01-01 21:32:42,suspicious,,NO,NO,Unknown,Unknown,Unknown,44.98355662,-93.3134127,4,Harrison
6893,2017-01-01 22:26:58,suspicious,,NO,NO,Unknown,Black,Male,44.96091,-93.26511,3,Ventura Village
6894,2017-01-01 22:48:16,traffic,,NO,NO,White,White,Female,44.98136499,-93.21368718,2,Como
6895,2017-01-01 22:48:32,suspicious,,NO,NO,White,White,Male,44.95642818,-93.27786411,5,Whittier
6897,2017-01-01 23:01:52,traffic,,NO,NO,Unknown,Other,Male,44.96826233,-93.28186087,1,Loring Park
6898,2017-01-01 23:06:49,suspicious,,NO,NO,Unknown,White,Male,44.98355662,-93.3134127,4,Harrison
6899,2017-01-01 23:11:39,suspicious,,YES,NO,Black,Black,Male,44.96091889,-93.2937258,5,East Isles
6900,2017-01-01 23:12:07,suspicious,,NO,NO,Unknown,Unknown,Unknown,44.9386021,-93.29838599,5,CARAG
6901,2017-01-01 23:14:50,suspicious,,NO,NO,Unknown,White,Male,44.95196,-93.2868,5,Whittier
6902,2017-01-01 23:19:41,suspicious,,NO,NO,Unknown,White,Male,44.94835,-93.27668,5,Whittier
6903,2017-01-01 23:39:57,suspicious,,NO,NO,White,White,Male,44.94044075,-93.27791575,5,Lyndale
6904,2017-01-01 23:42:53,suspicious,,NO,NO,Unknown,Unknown,Unknown,44.89527691,-93.31628325,5,Armatage
6905,2017-01-01 23:43:07,traffic,,NO,NO,Unknown,Black,Male,45.02664866,-93.28807926,4,Webber - Camden
6906,2017-01-01 23:43:34,suspicious,,NO,NO,Unknown,Unknown,Unknown,45.01759598,-93.28650355,4,McKinley
6907,2017-01-01 23:44:46,traffic,,NO,NO,Black,Black,Male,44.96269,-93.27656,5,Steven's Square - Loring Heights
6908,2017-01-01 23:45:03,suspicious,,YES,NO,Native American,Native American,Female,44.95779751,-93.24733141,3,East Phillips
6910,2017-01-01 23:53:44,traffic,,YES,YES,Unknown,Black,Male,45.00783,-93.30821,4,Jordan
6911,2017-01-01 23:57:43,suspicious,,NO,NO,Unknown,Unknown,Unknown,45.01107619,-93.26950762,2,Bottineau
6912,2017-01-02 00:03:27,suspicious,,NO,NO,Unknown,Unknown,Unknown,44.89927,-93.24731,3,Diamond Lake
6914,2017-01-02 00:32:10,suspicious,,NO,NO,Unknown,Unknown,Unknown,44.95284615,-93.25247076,3,Midtown Phillips
6915,2017-01-02 00:43:48,traffic,,NO,NO,White,White,Male,44.9951,-93.24225,2,Beltrami
6918,2017-01-02 01:39:43,suspicious,,NO,NO,Unknown,White,Male,44.96747488,-93.27781525,1,Loring Park
6919,2017-01-02 01:43:49,traffic,,NO,NO,Unknown,Other,Male,44.95374,-93.28552,5,Whittier
6920,2017-01-02 02:05:46,suspicious,,NO,NO,Unknown,Black,Male,44.98080828,-93.27314066,1,Downtown West
6921,2017-01-02 02:07:06,traffic,,NO,NO,Unknown,East African,Male,44.95195,-93.28299,5,Whittier
6922,2017-01-02 02:36:58,suspicious,,NO,NO,Unknown,Unknown,Unknown,45.02499559,-93.30835804,4,Victory
6923,2017-01-02 03:00:01,traffic,,NO,NO,Black,Black,Male,44.96180795,-93.28800649,5,Lowry Hill East
6924,2017-01-02 03:17:26,traffic,,NO,NO,Unknown,Black,Male,44.94835,-93.26522,3,Phillips West
6925,2017-01-02 03:22:20,suspicious,,NO,NO,Unknown,Black,Female,44.97792701,-93.2795086,1,Downtown West
6926,2017-01-02 03:31:34,traffic,,NO,NO,Unknown,East African,Male,44.97632,-93.26163,1,Downtown West
6927,2017-01-02 03:38:22,suspicious,,NO,NO,Unknown,Unknown,Unknown,44.9099012,-93.22030418,3,Minnehaha
6928,2017-01-02 03:50:30,traffic,,YES,YES,Unknown,Black,Male,45.00599,-93.30189,4,Jordan
6932,2017-01-02 07:21:55,traffic,,NO,NO,Unknown,White,Female,44.93139645,-93.27791653,5,King Field
6933,2017-01-02 07:35:34,traffic,,NO,NO,Unknown,Black,Male,44.91873473,-93.27795772,5,Tangletown
6934,2017-01-02 08:21:53,traffic,,NO,NO,Black,Black,Male,44.99871,-93.25626,2,St. Anthony East
6936,2017-01-02 10:18:02,traffic,,YES,YES,Black,Black,Male,45.01317,-93.26465,2,Bottineau
6937,2017-01-02 10:28:03,suspicious,,NO,NO,Unknown,Unknown,Unknown,44.92772137,-93.29082674,5,East Harriet
6938,2017-01-02 10:35:29,traffic,,NO,NO,Unknown,Asian,Male,44.94836,-93.2881,5,Lowry Hill East
6939,2017-01-02 10:40:48,suspicious,,NO,NO,Unknown,Latino,Male,44.94834,-93.27969,5,Whittier
6940,2017-01-02 10:50:27,suspicious,,NO,NO,Unknown,East African,Male,44.94955167,-93.28134598,5,Whittier
6941,2017-01-02 11:20:19,suspicious,,NO,NO,Unknown,Unknown,Unknown,45.04759,-93.30931,4,Shingle Creek
6942,2017-01-02 11:27:13,suspicious,,NO,NO,Black,Black,Male,45.02047,-93.31081,4,Cleveland
6943,2017-01-02 11:28:17,traffic,,NO,NO,Unknown,White,Female,44.95553,-93.27659,5,Whittier
6946,2017-01-02 11:58:41,suspicious,,NO,NO,Black,Black,Male,44.94958302,-93.27664165,5,Whittier
6947,2017-01-02 12:12:50,traffic,,NO,NO,Unknown,White,Male,44.95195,-93.28426,5,Whittier
6949,2017-01-02 12:22:06,suspicious,,NO,NO,White,White,Male,44.94834704,-93.27880784,5,Lyndale
6950,2017-01-02 12:27:03,traffic,,NO,NO,White,White,Female,44.92159466,-93.27430491,3,Regina
6951,2017-01-02 12:31:33,traffic,,YES,NO,White,White,Male,45.01316,-93.25914,2,Holland
6952,2017-01-02 12:43:16,suspicious,,NO,NO,Native American,Native American,Male,44.96332683,-93.27781326,5,Steven's Square - Loring Heights
6953,2017-01-02 12:51:33,traffic,,NO,NO,White,White,Male,44.98021301,-93.23509281,2,Marcy Holmes
6954,2017-01-02 13:36:36,suspicious,,NO,NO,Unknown,Unknown,Unknown,44.91517938,-93.31886431,5,Fulton
6956,2017-01-02 13:53:16,suspicious,,NO,NO,White,White,Male,44.94835457,-93.28218485,5,Lyndale
6958,2017-01-02 14:03:05,traffic,,NO,NO,Unknown,White,Female,44.92242878,-93.31890146,5,Linden Hills
6959,2017-01-02 14:19:54,suspicious,,NO,NO,Unknown,Unknown,Male,44.9833096,-93.27077411,1,Downtown West
6960,2017-01-02 14:25:13,suspicious,,NO,NO,Unknown,Unknown,Unknown,45.04759,-93.30931,4,Shingle Creek
6961,2017-01-02 14:25:33,suspicious,,NO,NO,Black,Black,Male,45.03853,-93.2875,4,Lind - Bohanon
6962,2017-01-02 15:20:38,suspicious,,NO,NO,Unknown,Unknown,Unknown,45.03043868,-93.2893657,4,Webber - Camden
6963,2017-01-02 15:29:25,suspicious,,NO,NO,White,White,Male,44.95015004,-93.27536654,5,Whittier
6964,2017-01-02 15:31:32,suspicious,,NO,NO,Unknown,Black,Male,45.01266624,-93.24912093,2,Holland
6965,2017-01-02 15:41:07,suspicious,,NO,NO,Unknown,Unknown,Unknown,45.03043868,-93.2893657,4,Webber - Camden
6966,2017-01-02 15:43:50,suspicious,,YES,NO,Latino,Latino,Male,44.95074395,-93.27878964,5,Whittier
6967,2017-01-02 15:56:31,suspicious,,NO,NO,Black,Unknown,Male,44.95195,-93.25374,3,Midtown Phillips
6969,2017-01-02 16:33:01,suspicious,,YES,NO,Unknown,Black,Male,44.99968546,-93.2879891,4,Hawthorne
6970,2017-01-02 16:41:52,traffic,,NO,NO,Unknown,Latino,Male,44.94835309,-93.2760326,5,Whittier
6971,2017-01-02 17:22:19,traffic,,NO,NO,Unknown,White,Female,44.95284261,-93.27965923,5,Whittier
6972,2017-01-02 17:28:13,suspicious,,NO,NO,Unknown,Unknown,Unknown,44.95282851,-93.27314723,5,Whittier
6974,2017-01-02 17:50:28,suspicious,,NO,NO,White,White,Male,45.03775604,-93.30916026,4,Victory
6975,2017-01-02 17:54:08,traffic,,NO,NO,Unknown,Black,Male,45.00593,-93.24915,2,Logan Park
6978,2017-01-02 18:32:50,suspicious,,NO,NO,Unknown,White,Male,44.89304316,-93.27938185,5,Windom
6979,2017-01-02 19:07:59,traffic,,NO,NO,Unknown,White,Male,44.94836,-93.29828,5,ECCO
6980,2017-01-02 19:18:55,suspicious,,YES,NO,Black,Black,Male,44.99913768,-93.28875577,4,Hawthorne
6982,2017-01-02 19:39:32,suspicious,,YES,NO,Unknown,White,Male,45.00111564,-93.24099042,2,Northeast Park
6983,2017-01-02 19:41:24,traffic,,NO,NO,Unknown,White,Female,44.99149,-93.24095,2,Como
6984,2017-01-02 20:22:56,suspicious,,NO,NO,Unknown,Native American,Female,44.96932975,-93.28185409,1,Loring Park
6985,2017-01-02 20:52:18,suspicious,,NO,NO,Unknown,Unknown,Unknown,44.9641117,-93.22802405,3,Seward
6986,2017-01-02 20:59:40,suspicious,,NO,NO,Unknown,Black,Male,44.97688559,-93.28037165,1,Downtown West
6988,2017-01-02 21:32:56,suspicious,,NO,NO,Unknown,Unknown,Unknown,44.92873,-93.24606,3,Standish
6989,2017-01-02 21:36:23,traffic,,NO,NO,Black,Black,Male,44.94044075,-93.27791575,5,Lyndale
6991,2017-01-02 21:44:20,suspicious,,NO,NO,Black,Black,Male,44.94044075,-93.27791575,5,Lyndale
6992,2017-01-02 21:46:12,suspicious,,NO,NO,White,White,Male,44.97076328,-93.24725145,1,Cedar Riverside
6993,2017-01-02 22:11:55,traffic,,NO,NO,Black,Black,Male,44.94841574,-93.32280644,5,Cedar - Isles - Dean
6994,2017-01-02 22:38:39,suspicious,,YES,NO,Black,Black,Male,44.97845913,-93.27733144,1,Downtown West
6995,2017-01-02 22:55:26,suspicious,,YES,NO,Unknown,Unknown,Male,44.9572173,-93.24485196,3,East Phillips
6996,2017-01-02 23:02:16,suspicious,,NO,NO,Unknown,White,Male,44.9627,-93.29179,5,Lowry Hill
6997,2017-01-02 23:03:42,traffic,,NO,NO,Unknown,East African,Female,44.9768075,-93.27643103,1,Downtown West
6998,2017-01-02 23:11:31,traffic,,NO,NO,White,White,Female,44.96316564,-93.28807331,5,Steven's Square - Loring Heights
6999,2017-01-02 23:12:17,suspicious,,NO,NO,Unknown,Unknown,Unknown,45.03041294,-93.23398346,2,Waite Park
7001,2017-01-02 23:15:37,traffic,,NO,NO,Unknown,White,Female,45.01316,-93.24912,2,Holland
7002,2017-01-02 23:38:47,traffic,,NO,NO,Unknown,East African,Male,44.94660622,-93.28748225,5,Lyndale
7003,2017-01-02 23:39:10,traffic,,NO,NO,Unknown,Latino,Male,44.9513432,-93.27966979,5,Whittier
7004,2017-01-02 23:39:30,traffic,,NO,NO,Black,Black,Male,44.93863463,-93.2779141,5,Lyndale
7005,2017-01-03 00:07:06,suspicious,,NO,NO,Unknown,White,Female,44.95733,-93.2855,5,Whittier
7007,2017-01-03 00:37:46,suspicious,,NO,NO,Unknown,Black,Male,45.00930468,-93.26616923,2,Bottineau
7008,2017-01-03 00:52:30,traffic,,NO,NO,Unknown,White,Female,44.97430098,-93.25223244,1,Downtown East
7009,2017-01-03 01:29:56,traffic,,NO,NO,Unknown,White,Male,44.96986,-93.27933,1,Loring Park
7010,2017-01-03 01:35:38,traffic,,NO,NO,Unknown,East African,Female,44.97080927,-93.27339651,1,Downtown West
7012,2017-01-03 02:20:07,traffic,,NO,NO,Unknown,White,Male,44.93769206,-93.28756025,5,King Field
7013,2017-01-03 02:27:14,suspicious,,NO,NO,Black,Black,Male,44.9800647,-93.27188308,1,Downtown West
7016,2017-01-03 06:00:51,traffic,,NO,NO,Unknown,White,Male,44.91144236,-93.27463391,3,Field
7017,2017-01-03 07:07:36,suspicious,,NO,NO,White,Unknown,Male,45.03564138,-93.23268357,2,Waite Park
7018,2017-01-03 07:13:11,traffic,,NO,NO,Unknown,White,Male,44.95680675,-93.29584001,5,Lowry Hill East
7019,2017-01-03 07:15:20,traffic,,NO,NO,Unknown,White,Female,44.95641322,-93.29659612,5,East Isles
7020,2017-01-03 07:36:18,traffic,,YES,NO,Native American,Native American,Female,44.9483642,-93.29001302,5,CARAG
7021,2017-01-03 08:24:10,traffic,,NO,NO,Unknown,White,Female,44.96248256,-93.30839182,5,Kenwood
7022,2017-01-03 08:39:07,traffic,,NO,NO,White,White,Male,44.96593161,-93.30325972,5,Lowry Hill
7023,2017-01-03 08:52:56,traffic,,NO,NO,Unknown,White,Female,44.94881103,-93.29827927,5,Lowry Hill East
7024,2017-01-03 09:50:03,suspicious,,NO,NO,Unknown,White,Male,45.01939931,-93.28498382,4,McKinley
7025,2017-01-03 09:56:36,suspicious,,NO,NO,Native American,Native American,Female,44.96269264,-93.27860914,5,Whittier
7026,2017-01-03 10:07:12,suspicious,,NO,NO,White,White,Male,44.94834712,-93.28052287,5,Whittier
7031,2017-01-03 11:29:27,traffic,,YES,YES,Unknown,Black,Female,44.99632,-93.29564,4,Near - North
7032,2017-01-03 11:37:13,traffic,,NO,NO,Unknown,Black,Male,45.00026,-93.29717,4,Jordan
7033,2017-01-03 11:48:31,traffic,,YES,YES,Unknown,Black,Male,45.00486,-93.30114,4,Jordan
7034,2017-01-03 12:07:10,traffic,,NO,NO,Unknown,Black,Male,44.99916,-93.29564,4,Near - North
7035,2017-01-03 12:16:20,suspicious,,NO,NO,Black,Unknown,Male,44.95014459,-93.26646784,3,Phillips West
7036,2017-01-03 12:27:01,traffic,,NO,NO,White,White,Male,44.98973694,-93.24488869,2,Marcy Holmes
7037,2017-01-03 12:29:44,suspicious,,NO,NO,Unknown,Unknown,Unknown,44.95301526,-93.27408256,5,Whittier
7038,2017-01-03 12:33:54,suspicious,,NO,NO,Black,Black,Male,44.95642768,-93.27149314,5,Whittier
7039,2017-01-03 12:37:26,suspicious,,NO,NO,Unknown,Black,Male,44.9609006,-93.27084862,5,Whittier
7040,2017-01-03 12:43:28,traffic,,NO,NO,Black,Black,Male,45.02409,-93.30961,4,Cleveland
7041,2017-01-03 12:55:39,suspicious,,NO,NO,Unknown,Unknown,Unknown,44.98705365,-93.25728617,2,Nicollet Island - East Bank
7042,2017-01-03 13:10:44,traffic,,NO,NO,Unknown,Black,Male,45.01492,-93.29054,4,McKinley
7043,2017-01-03 13:25:53,traffic,,YES,YES,Unknown,Black,Male,45.01764448,-93.29432832,4,Folwell
7044,2017-01-03 13:29:57,traffic,,NO,NO,Unknown,Black,Male,44.99914,-93.28799,4,Hawthorne
7045,2017-01-03 13:33:55,suspicious,,NO,NO,Black,Unknown,Male,44.96454128,-93.25818703,3,Ventura Village
7046,2017-01-03 13:39:28,traffic,,NO,NO,White,White,Female,45.01313258,-93.29495668,4,Jordan
7048,2017-01-03 13:49:13,traffic,,NO,NO,Unknown,Black,Male,45.01852,-93.29055,4,McKinley
7049,2017-01-03 13:52:33,traffic,,NO,NO,Black,Black,Male,44.99915,-93.29258,4,Near - North
7050,2017-01-03 14:07:45,suspicious,,NO,NO,White,Unknown,Male,45.02859056,-93.29575011,4,Webber - Camden
7051,2017-01-03 14:14:07,suspicious,,NO,NO,Unknown,Black,Male,44.95642768,-93.27149314,5,Whittier
7052,2017-01-03 14:14:47,traffic,,NO,NO,Unknown,Black,Female,44.99911,-93.28184,4,Hawthorne
7053,2017-01-03 14:26:01,traffic,,NO,NO,Black,Black,Male,44.99914,-93.28799,4,Hawthorne
7055,2017-01-03 14:59:06,suspicious,,NO,NO,White,Unknown,Female,45.01235319,-93.31589143,4,Jordan
7056,2017-01-03 15:15:49,traffic,,NO,NO,Unknown,Unknown,Unknown,44.94661209,-93.27881434,5,Lyndale
7060,2017-01-03 15:51:26,suspicious,,NO,NO,Unknown,Unknown,Male,44.96458275,-93.26510944,3,Ventura Village
7061,2017-01-03 16:57:59,traffic,,NO,YES,Black,Black,Male,44.94835,-93.27668,5,Whittier
7062,2017-01-03 17:01:14,suspicious,,YES,NO,White,White,Female,44.99913768,-93.28875577,4,Hawthorne
7063,2017-01-03 17:01:34,traffic,,YES,NO,Unknown,Native American,Male,44.96269,-93.27528,5,Whittier
7064,2017-01-03 17:18:49,traffic,,NO,NO,Unknown,Black,Male,44.94666,-93.27665,5,Lyndale
7065,2017-01-03 17:35:38,suspicious,,NO,NO,Unknown,Unknown,Unknown,44.92511,-93.27276,3,Regina
7066,2017-01-03 17:49:39,traffic,,NO,NO,Unknown,Unknown,Female,44.97359,-93.27697,1,Downtown West
7067,2017-01-03 17:56:26,suspicious,,YES,YES,White,White,Male,44.93954,-93.27791,5,Lyndale
7068,2017-01-03 18:02:02,suspicious,,NO,NO,Unknown,Other,Female,44.9901446,-93.30572715,4,Near - North
7073,2017-01-03 18:33:57,traffic,,NO,NO,Unknown,East African,Male,44.96269264,-93.27860914,5,Whittier
7074,2017-01-03 18:52:19,traffic,,YES,YES,Native American,Native American,Male,44.94837,-93.2525,3,East Phillips
7077,2017-01-03 19:24:16,suspicious,,YES,YES,Unknown,Black,Male,45.00557177,-93.30820797,4,Jordan
7078,2017-01-03 19:25:12,traffic,,NO,NO,Unknown,Black,Male,44.99196942,-93.29641024,4,Near - North
7079,2017-01-03 19:37:31,suspicious,,NO,NO,White,White,Male,45.032503,-93.29322627,4,Webber - Camden
7080,2017-01-03 19:39:53,traffic,,NO,NO,Unknown,Other,Male,44.94659,-93.2983,5,CARAG
7082,2017-01-03 19:46:09,suspicious,,NO,NO,Unknown,Black,Male,44.99059354,-93.30195912,4,Near - North
7083,2017-01-03 20:04:33,traffic,,NO,NO,Unknown,White,Female,44.92074888,-93.27409696,3,Regina
7084,2017-01-03 20:05:17,traffic,,NO,NO,Unknown,Black,Male,45.01317,-93.29812,4,Jordan
7085,2017-01-03 20:50:25,traffic,,NO,NO,Black,Black,Male,44.95599844,-93.24735604,3,East Phillips
7086,2017-01-03 21:13:31,suspicious,,NO,NO,Unknown,Unknown,Unknown,44.96514,-93.254,3,Ventura Village
7087,2017-01-03 21:35:50,traffic,,NO,NO,Unknown,White,Male,44.95554,-93.24736,3,East Phillips
7088,2017-01-03 21:47:26,suspicious,,NO,NO,Black,Black,Male,44.96005121,-93.24091475,3,Seward
7089,2017-01-03 21:55:26,traffic,,NO,NO,Unknown,White,Male,44.93773399,-93.27727558,5,Lyndale
7091,2017-01-03 22:07:57,suspicious,,NO,NO,Unknown,Unknown,Unknown,45.01400445,-93.28185246,4,McKinley
7092,2017-01-03 22:14:22,suspicious,,NO,NO,Unknown,White,Male,44.92223954,-93.32551557,5,Linden Hills
7093,2017-01-03 22:36:44,traffic,,NO,NO,Unknown,Latino,Male,45.0204,-93.24478,2,Audubon Park
7094,2017-01-03 22:38:46,suspicious,,NO,NO,Black,Black,Male,44.97677369,-93.27736013,1,Downtown West
7095,2017-01-03 22:41:34,traffic,,NO,NO,Unknown,Asian,Male,44.98943199,-93.25274758,2,Marcy Holmes
7096,2017-01-03 22:42:45,traffic,,YES,YES,White,White,Male,44.98897,-93.25351,2,Nicollet Island - East Bank
7097,2017-01-03 23:00:00,suspicious,,NO,NO,Black,Unknown,Unknown,44.89153293,-93.27811309,5,Windom
7098,2017-01-03 23:01:56,suspicious,,NO,NO,Unknown,Unknown,Unknown,44.94921965,-93.24995453,3,East Phillips
7099,2017-01-03 23:06:04,suspicious,,NO,NO,Other,Other,Unknown,44.9483707,-93.24676939,3,Corcoran
7101,2017-01-03 23:15:01,traffic,,NO,NO,Unknown,Unknown,Male,44.89877848,-93.2780985,5,Windom
7104,2017-01-03 23:42:55,suspicious,,NO,NO,Unknown,Unknown,Male,44.98506701,-93.24402152,2,Marcy Holmes
7105,2017-01-03 23:43:53,suspicious,,NO,NO,Latino,Latino,Male,44.94567311,-93.2626418,3,Powderhorn Park
7106,2017-01-04 00:02:48,traffic,,NO,NO,Unknown,Latino,Male,44.94473,-93.26263,3,Powderhorn Park
7107,2017-01-04 00:04:37,suspicious,,NO,NO,Unknown,Latino,Male,45.01316,-93.2509,2,Holland
7108,2017-01-04 00:45:35,suspicious,,NO,NO,Unknown,Black,Male,45.04932,-93.28766,4,Lind - Bohanon
7109,2017-01-04 01:15:10,traffic,,NO,NO,Black,Black,Male,44.96574578,-93.27657667,5,Steven's Square - Loring Heights
7110,2017-01-04 01:35:04,traffic,,NO,NO,Unknown,Black,Male,44.96269483,-93.28011993,5,Whittier
7111,2017-01-04 02:07:21,traffic,,YES,YES,Unknown,Black,Male,44.9627,-93.26383,3,Ventura Village
7112,2017-01-04 02:07:49,suspicious,,NO,NO,Unknown,Unknown,Unknown,44.96390132,-93.31189869,5,Kenwood
7113,2017-01-04 03:17:57,traffic,,YES,YES,Unknown,Latino,Male,44.94836,-93.29828,5,ECCO
7114,2017-01-04 03:29:15,traffic,,NO,NO,Unknown,Black,Male,44.9987,-93.2269,2,Mid - City Industrial
7115,2017-01-04 04:12:40,suspicious,,NO,NO,Unknown,Unknown,Unknown,44.98925433,-93.25636308,2,Nicollet Island - East Bank
7116,2017-01-04 05:10:15,suspicious,,NO,NO,Black,Black,Male,44.97675,-93.27868,1,Downtown West
7117,2017-01-04 06:21:03,suspicious,,NO,NO,White,White,Female,44.9438377,-93.24230838,3,Corcoran
