pokedex_number,base_total,hp,attack,sp_attack,defense,sp_defense,speed,type1,type2,percentage_male,ability1,ability2,ability3,weight_kg,is_legendary,generation
33,365,61,72,55,57,55,65,poison,NA,100,Poison Point,Rivalry,Hustle,19.5,Non-legendary,1
34,505,81,102,85,77,75,85,poison,ground,100,Poison Point,Rivalry,Sheer Force,62,Non-legendary,1
35,323,70,45,60,48,65,35,fairy,NA,24.6,Cute Charm,Magic Guard,Friend Guard,7.5,Non-legendary,1
36,483,95,70,95,73,90,60,fairy,NA,24.6,Cute Charm,Magic Guard,Unaware,40,Non-legendary,1
37,299,38,41,50,40,65,65,fire,NA,24.6,Flash Fire,NA,Drought,NA,Non-legendary,1
38,505,73,67,81,75,100,109,fire,NA,24.6,Flash Fire,NA,Drought,NA,Non-legendary,1
39,270,115,45,45,20,25,20,normal,fairy,24.6,Cute Charm,Competitive,Friend Guard,5.5,Non-legendary,1
40,435,140,70,85,45,50,45,normal,fairy,24.6,Cute Charm,Competitive,Frisk,12,Non-legendary,1
41,245,40,45,30,35,40,55,poison,flying,50,Inner Focus,NA,Infiltrator,7.5,Non-legendary,1
42,455,75,80,65,70,75,90,poison,flying,50,Inner Focus,NA,Infiltrator,55,Non-legendary,1
43,320,45,50,75,55,65,30,grass,poison,50,Chlorophyll,NA,Run Away,5.4,Non-legendary,1
44,395,60,65,85,70,75,40,grass,poison,50,Chlorophyll,NA,Stench,8.6,Non-legendary,1
45,490,75,80,110,85,90,50,grass,poison,50,Chlorophyll,NA,Effect Spore,18.6,Non-legendary,1
46,285,35,70,45,55,55,25,bug,grass,50,Effect Spore,Dry Skin,Damp,5.4,Non-legendary,1
47,405,60,95,60,80,80,30,bug,grass,50,Effect Spore,Dry Skin,Damp,29.5,Non-legendary,1
48,305,60,55,40,50,55,45,bug,poison,50,Compoundeyes,Tinted Lens,Run Away,30,Non-legendary,1
49,450,70,65,90,60,75,90,bug,poison,50,Shield Dust,Tinted Lens,Wonder Skin,12.5,Non-legendary,1
50,265,10,55,35,30,45,90,ground,NA,50,Sand Veil,Arena Trap,Sand Force,NA,Non-legendary,1
51,425,35,100,50,60,70,110,ground,NA,50,Sand Veil,Arena Trap,Sand Force,NA,Non-legendary,1
52,290,40,35,50,35,40,90,normal,NA,50,Pickup,Technician,Unnerve,NA,Non-legendary,1
53,440,65,60,75,60,65,115,normal,NA,50,Limber,Technician,Unnerve,NA,Non-legendary,1
54,320,50,52,65,48,50,55,water,NA,50,Damp,Cloud Nine,Swift Swim,19.6,Non-legendary,1
55,500,80,82,95,78,80,85,water,NA,50,Damp,Cloud Nine,Swift Swim,76.6,Non-legendary,1
56,305,40,80,35,35,45,70,fighting,NA,50,Vital Spirit,Anger Point,Defiant,28,Non-legendary,1
57,455,65,105,60,60,70,95,fighting,NA,50,Vital Spirit,Anger Point,Defiant,32,Non-legendary,1
58,350,55,70,70,45,50,60,fire,NA,75.4,Intimidate,Flash Fire,Justified,19,Non-legendary,1
59,555,90,110,100,80,80,95,fire,NA,75.4,Intimidate,Flash Fire,Justified,155,Non-legendary,1
60,300,40,50,40,40,40,90,water,NA,50,Water Absorb,Damp,Swift Swim,12.4,Non-legendary,1
61,385,65,65,50,65,50,90,water,NA,50,Water Absorb,Damp,Swift Swim,20,Non-legendary,1
62,510,90,95,70,95,90,70,water,fighting,50,Water Absorb,Damp,Swift Swim,54,Non-legendary,1
63,310,25,20,105,15,55,90,psychic,NA,75.4,Synchronize,Inner Focus,Magic Guard,19.5,Non-legendary,1
64,400,40,35,120,30,70,105,psychic,NA,75.4,Synchronize,Inner Focus,Magic Guard,56.5,Non-legendary,1
65,600,55,50,175,65,105,150,psychic,NA,75.4,Synchronize,Inner Focus,Magic Guard,48,Non-legendary,1
66,305,70,80,35,50,35,35,fighting,NA,75.4,Guts,No Guard,Steadfast,19.5,Non-legendary,1
67,405,80,100,50,70,60,45,fighting,NA,75.4,Guts,No Guard,Steadfast,70.5,Non-legendary,1
68,505,90,130,65,80,85,55,fighting,NA,75.4,Guts,No Guard,Steadfast,130,Non-legendary,1
69,300,50,75,70,35,30,40,grass,poison,50,Chlorophyll,NA,Gluttony,4,Non-legendary,1
70,390,65,90,85,50,45,55,grass,poison,50,Chlorophyll,NA,Gluttony,6.4,Non-legendary,1
71,490,80,105,100,65,70,70,grass,poison,50,Chlorophyll,NA,Gluttony,15.5,Non-legendary,1
72,335,40,40,50,35,100,70,water,poison,50,Clear Body,Liquid Ooze,Rain Dish,45.5,Non-legendary,1
73,515,80,70,80,65,120,100,water,poison,50,Clear Body,Liquid Ooze,Rain Dish,55,Non-legendary,1
74,300,40,80,30,100,30,20,rock,ground,50,Rock Head,Sturdy,Sand Veil,NA,Non-legendary,1
75,390,55,95,45,115,45,35,rock,ground,50,Rock Head,Sturdy,Sand Veil,NA,Non-legendary,1
76,495,80,120,55,130,65,45,rock,ground,50,Rock Head,Sturdy,Sand Veil,NA,Non-legendary,1
77,410,50,85,65,55,65,90,fire,NA,50,Run Away,Flash Fire,Flame Body,30,Non-legendary,1
78,500,65,100,80,70,80,105,fire,NA,50,Run Away,Flash Fire,Flame Body,95,Non-legendary,1
79,315,90,65,40,65,40,15,water,psychic,50,Oblivious,Own Tempo,Regenerator,36,Non-legendary,1
80,590,95,75,130,180,80,30,water,psychic,50,Oblivious,Own Tempo,Regenerator,78.5,Non-legendary,1
81,325,25,35,95,70,55,45,electric,steel,NA,Magnet Pull,Sturdy,Analytic,6,Non-legendary,1
82,465,50,60,120,95,70,70,electric,steel,NA,Magnet Pull,Sturdy,Analytic,60,Non-legendary,1
83,377,52,90,58,55,62,60,normal,flying,50,Keen Eye,Inner Focus,Defiant,15,Non-legendary,1
84,310,35,85,35,45,35,75,normal,flying,50,Run Away,Early Bird,Tangled Feet,39.2,Non-legendary,1
85,470,60,110,60,70,60,110,normal,flying,50,Run Away,Early Bird,Tangled Feet,85.2,Non-legendary,1
86,325,65,45,45,55,70,45,water,NA,50,Thick Fat,Hydration,Ice Body,90,Non-legendary,1
87,475,90,70,70,80,95,70,water,ice,50,Thick Fat,Hydration,Ice Body,120,Non-legendary,1
88,325,80,80,40,50,50,25,poison,NA,50,Stench,Sticky Hold,Poison Touch,NA,Non-legendary,1
89,500,105,105,65,75,100,50,poison,NA,50,Stench,Sticky Hold,Poison Touch,NA,Non-legendary,1
90,305,30,65,45,100,25,40,water,NA,50,Shell Armor,Skill Link,Overcoat,4,Non-legendary,1
91,525,50,95,85,180,45,70,water,ice,50,Shell Armor,Skill Link,Overcoat,132.5,Non-legendary,1
92,310,30,35,100,30,35,80,ghost,poison,50,Levitate,NA,NA,0.1,Non-legendary,1
93,405,45,50,115,45,55,95,ghost,poison,50,Levitate,NA,NA,0.1,Non-legendary,1
94,600,60,65,170,80,95,130,ghost,poison,50,Cursed Body,NA,NA,40.5,Non-legendary,1
95,385,35,45,30,160,45,70,rock,ground,50,Rock Head,Sturdy,Weak Armor,210,Non-legendary,1
96,328,60,48,43,45,90,42,psychic,NA,50,Insomnia,Forewarn,Inner Focus,32.4,Non-legendary,1
97,483,85,73,73,70,115,67,psychic,NA,50,Insomnia,Forewarn,Inner Focus,75.6,Non-legendary,1
98,325,30,105,25,90,25,50,water,NA,50,Hyper Cutter,Shell Armor,Sheer Force,6.5,Non-legendary,1
99,475,55,130,50,115,50,75,water,NA,50,Hyper Cutter,Shell Armor,Sheer Force,60,Non-legendary,1
100,330,40,30,55,50,55,100,electric,NA,NA,Soundproof,Static,Aftermath,10.4,Non-legendary,1
101,490,60,50,80,70,80,150,electric,NA,NA,Soundproof,Static,Aftermath,66.6,Non-legendary,1
102,325,60,40,60,80,45,40,grass,psychic,50,Chlorophyll,NA,Harvest,2.5,Non-legendary,1
103,530,95,105,125,85,75,45,grass,psychic,50,Chlorophyll,NA,Harvest,NA,Non-legendary,1
104,320,50,50,40,95,50,35,ground,NA,50,Rock Head,Lightningrod,Battle Armor,6.5,Non-legendary,1
105,425,60,80,50,110,80,45,ground,NA,50,Rock Head,Lightning Rod,Battle Armor,NA,Non-legendary,1
106,455,50,120,35,53,110,87,fighting,NA,100,Limber,Reckless,Unburden,49.8,Non-legendary,1
107,455,50,105,35,79,110,76,fighting,NA,100,Keen Eye,Iron Fist,Inner Focus,50.2,Non-legendary,1
108,385,90,55,60,75,75,30,normal,NA,50,Own Tempo,Oblivious,Cloud Nine,65.5,Non-legendary,1
109,340,40,65,60,95,45,35,poison,NA,50,Levitate,NA,NA,1,Non-legendary,1
110,490,65,90,85,120,70,60,poison,NA,50,Levitate,NA,NA,9.5,Non-legendary,1
111,345,80,85,30,95,30,25,ground,rock,50,Lightningrod,Rock Head,Reckless,115,Non-legendary,1
112,485,105,130,45,120,45,40,ground,rock,50,Lightningrod,Rock Head,Reckless,120,Non-legendary,1
113,450,250,5,35,5,105,50,normal,NA,0,Natural Cure,Serene Grace,Healer,34.6,Non-legendary,1
114,435,65,55,100,115,40,60,grass,NA,50,Chlorophyll,Leaf Guard,Regenerator,35,Non-legendary,1
115,590,105,125,60,100,100,100,normal,NA,0,Early Bird,Scrappy,Inner Focus,80,Non-legendary,1
116,295,30,40,70,70,25,60,water,NA,50,Swift Swim,Sniper,Damp,8,Non-legendary,1
117,440,55,65,95,95,45,85,water,NA,50,Poison Point,Sniper,Damp,25,Non-legendary,1
118,320,45,67,35,60,50,63,water,NA,50,Swift Swim,Water Veil,Lightningrod,15,Non-legendary,1
119,450,80,92,65,65,80,68,water,NA,50,Swift Swim,Water Veil,Lightningrod,39,Non-legendary,1
120,340,30,45,70,55,55,85,water,NA,NA,Illuminate,Natural Cure,Analytic,34.5,Non-legendary,1
121,520,60,75,100,85,85,115,water,psychic,NA,Illuminate,Natural Cure,Analytic,80,Non-legendary,1
122,460,40,45,100,65,120,90,psychic,fairy,50,Soundproof,Filter,Technician,54.5,Non-legendary,1
123,500,70,110,55,80,80,105,bug,flying,50,Swarm,Technician,Steadfast,56,Non-legendary,1
124,455,65,50,115,35,95,95,ice,psychic,0,Oblivious,Forewarn,Dry Skin,40.6,Non-legendary,1
125,490,65,83,95,57,85,105,electric,NA,75.4,Static,NA,Vital Spirit,30,Non-legendary,1
126,495,65,95,100,57,85,93,fire,NA,75.4,Flame Body,NA,Vital Spirit,44.5,Non-legendary,1
127,600,65,155,65,120,90,105,bug,NA,50,Hyper Cutter,Mold Breaker,Moxie,55,Non-legendary,1
128,490,75,100,40,95,70,110,normal,NA,100,Intimidate,Anger Point,Sheer Force,88.4,Non-legendary,1
129,200,20,10,15,55,20,80,water,NA,50,Swift Swim,NA,Rattled,10,Non-legendary,1
130,640,95,155,70,109,130,81,water,flying,50,Intimidate,NA,Moxie,235,Non-legendary,1
131,535,130,85,85,80,95,60,water,ice,50,Water Absorb,Shell Armor,Hydration,220,Non-legendary,1
132,288,48,48,48,48,48,48,normal,NA,NA,Limber,NA,Imposter,4,Non-legendary,1
133,325,55,55,45,50,65,55,normal,NA,88.1,Run Away,Adaptability,Anticipation,6.5,Non-legendary,1
134,525,130,65,110,60,95,65,water,NA,88.1,Water Absorb,NA,Hydration,29,Non-legendary,1
135,525,65,65,110,60,95,130,electric,NA,88.1,Volt Absorb,NA,Quick Feet,24.5,Non-legendary,1
136,525,65,130,95,60,110,65,fire,NA,88.1,Flash Fire,NA,Guts,25,Non-legendary,1
137,395,65,60,85,70,75,40,normal,NA,NA,Trace,Download,Analytic,36.5,Non-legendary,1
138,355,35,40,90,100,55,35,rock,water,88.1,Swift Swim,Shell Armor,Weak Armor,7.5,Non-legendary,1
139,495,70,60,115,125,70,55,rock,water,88.1,Swift Swim,Shell Armor,Weak Armor,35,Non-legendary,1
140,355,30,80,55,90,45,55,rock,water,88.1,Swift Swim,Battle Armor,Weak Armor,11.5,Non-legendary,1
141,495,60,115,65,105,70,80,rock,water,88.1,Swift Swim,Battle Armor,Weak Armor,40.5,Non-legendary,1
142,615,80,135,70,85,95,150,rock,flying,88.1,Rock Head,Pressure,Unnerve,59,Non-legendary,1
143,540,160,110,65,65,110,30,normal,NA,88.1,Immunity,Thick Fat,Gluttony,460,Non-legendary,1
144,580,90,85,95,100,125,85,ice,flying,NA,Pressure,NA,Snow Cloak,55.4,Legendary,1
145,580,90,90,125,85,90,100,electric,flying,NA,Pressure,NA,Static,52.6,Legendary,1
146,580,90,100,125,90,85,90,fire,flying,NA,Pressure,NA,Flame Body,60,Legendary,1
147,300,41,64,50,45,50,50,dragon,NA,50,Shed Skin,NA,Marvel Scale,3.3,Non-legendary,1
148,420,61,84,70,65,70,70,dragon,NA,50,Shed Skin,NA,Marvel Scale,16.5,Non-legendary,1
149,600,91,134,100,95,100,80,dragon,flying,50,Inner Focus,NA,Multiscale,210,Non-legendary,1
150,780,106,150,194,70,120,140,psychic,NA,NA,Pressure,NA,Unnerve,122,Legendary,1
151,600,100,100,100,100,100,100,psychic,NA,NA,Synchronize,NA,NA,4,Legendary,1
152,318,45,49,49,65,65,45,grass,NA,88.1,Overgrow,NA,Leaf Guard,6.4,Non-legendary,2
153,405,60,62,63,80,80,60,grass,NA,88.1,Overgrow,NA,Leaf Guard,15.8,Non-legendary,2
154,525,80,82,83,100,100,80,grass,NA,88.1,Overgrow,NA,Leaf Guard,100.5,Non-legendary,2
155,309,39,52,60,43,50,65,fire,NA,88.1,Blaze,NA,Flash Fire,7.9,Non-legendary,2
156,405,58,64,80,58,65,80,fire,NA,88.1,Blaze,NA,Flash Fire,19,Non-legendary,2
157,534,78,84,109,78,85,100,fire,NA,88.1,Blaze,NA,Flash Fire,79.5,Non-legendary,2
158,314,50,65,44,64,48,43,water,NA,88.1,Torrent,NA,Sheer Force,9.5,Non-legendary,2
159,405,65,80,59,80,63,58,water,NA,88.1,Torrent,NA,Sheer Force,25,Non-legendary,2
160,530,85,105,79,100,83,78,water,NA,88.1,Torrent,NA,Sheer Force,88.8,Non-legendary,2
161,215,35,46,35,34,45,20,normal,NA,50,Run Away,Keen Eye,Frisk,6,Non-legendary,2
162,415,85,76,45,64,55,90,normal,NA,50,Run Away,Keen Eye,Frisk,32.5,Non-legendary,2
163,262,60,30,36,30,56,50,normal,flying,50,Insomnia,Keen Eye,Tinted Lens,21.2,Non-legendary,2
164,452,100,50,86,50,96,70,normal,flying,50,Insomnia,Keen Eye,Tinted Lens,40.8,Non-legendary,2
165,265,40,20,40,30,80,55,bug,flying,50,Swarm,Early Bird,Rattled,10.8,Non-legendary,2
166,390,55,35,55,50,110,85,bug,flying,50,Swarm,Early Bird,Iron Fist,35.6,Non-legendary,2
167,250,40,60,40,40,40,30,bug,poison,50,Swarm,Insomnia,Sniper,8.5,Non-legendary,2
168,400,70,90,60,70,70,40,bug,poison,50,Swarm,Insomnia,Sniper,33.5,Non-legendary,2
169,535,85,90,70,80,80,130,poison,flying,50,Inner Focus,NA,Infiltrator,75,Non-legendary,2
170,330,75,38,56,38,56,67,water,electric,50,Volt Absorb,Illuminate,Water Absorb,12,Non-legendary,2
171,460,125,58,76,58,76,67,water,electric,50,Volt Absorb,Illuminate,Water Absorb,22.5,Non-legendary,2
172,205,20,40,35,15,35,60,electric,NA,50,Static,NA,Lightningrod,2,Non-legendary,2
173,218,50,25,45,28,55,15,fairy,NA,24.6,Cute Charm,Magic Guard,Friend Guard,3,Non-legendary,2
174,210,90,30,40,15,20,15,normal,fairy,24.6,Cute Charm,Competitive,Friend Guard,1,Non-legendary,2
175,245,35,20,40,65,65,20,fairy,NA,88.1,Hustle,Serene Grace,Super Luck,1.5,Non-legendary,2
176,405,55,40,80,85,105,40,fairy,flying,88.1,Hustle,Serene Grace,Super Luck,3.2,Non-legendary,2
177,320,40,50,70,45,45,70,psychic,flying,50,Synchronize,Early Bird,Magic Bounce,2,Non-legendary,2
178,470,65,75,95,70,70,95,psychic,flying,50,Synchronize,Early Bird,Magic Bounce,15,Non-legendary,2
179,280,55,40,65,40,45,35,electric,NA,50,Static,NA,Plus,7.8,Non-legendary,2
180,365,70,55,80,55,60,45,electric,NA,50,Static,NA,Plus,13.3,Non-legendary,2
181,610,90,95,165,105,110,45,electric,NA,50,Static,NA,Plus,61.5,Non-legendary,2
182,490,75,80,90,95,100,50,grass,NA,50,Chlorophyll,NA,Healer,5.8,Non-legendary,2
183,250,70,20,20,50,50,40,water,fairy,50,Thick Fat,Huge Power,Sap Sipper,8.5,Non-legendary,2
184,420,100,50,60,80,80,50,water,fairy,50,Thick Fat,Huge Power,Sap Sipper,28.5,Non-legendary,2
185,410,70,100,30,115,65,30,rock,NA,50,Sturdy,Rock Head,Rattled,38,Non-legendary,2
186,500,90,75,90,75,100,70,water,NA,50,Water Absorb,Damp,Drizzle,33.9,Non-legendary,2
187,250,35,35,35,40,55,50,grass,flying,50,Chlorophyll,Leaf Guard,Infiltrator,0.5,Non-legendary,2
188,340,55,45,45,50,65,80,grass,flying,50,Chlorophyll,Leaf Guard,Infiltrator,1,Non-legendary,2
189,460,75,55,55,70,95,110,grass,flying,50,Chlorophyll,Leaf Guard,Infiltrator,3,Non-legendary,2
190,360,55,70,40,55,55,85,normal,NA,50,Run Away,Pickup,Skill Link,11.5,Non-legendary,2
191,180,30,30,30,30,30,30,grass,NA,50,Chlorophyll,Solar Power,Early Bird,1.8,Non-legendary,2
192,425,75,75,105,55,85,30,grass,NA,50,Chlorophyll,Solar Power,Early Bird,8.5,Non-legendary,2
193,390,65,65,75,45,45,95,bug,flying,50,Speed Boost,Compoundeyes,Frisk,38,Non-legendary,2
194,210,55,45,25,45,25,15,water,ground,50,Damp,Water Absorb,Unaware,8.5,Non-legendary,2
195,430,95,85,65,85,65,35,water,ground,50,Damp,Water Absorb,Unaware,75,Non-legendary,2
196,525,65,65,130,60,95,110,psychic,NA,88.1,Synchronize,NA,Magic Bounce,26.5,Non-legendary,2
197,525,95,65,60,110,130,65,dark,NA,88.1,Synchronize,NA,Inner Focus,27,Non-legendary,2
198,405,60,85,85,42,42,91,dark,flying,50,Insomnia,Super Luck,Prankster,2.1,Non-legendary,2
199,490,95,75,100,80,110,30,water,psychic,50,Oblivious,Own Tempo,Regenerator,79.5,Non-legendary,2
200,435,60,60,85,60,85,85,ghost,NA,50,Levitate,NA,NA,1,Non-legendary,2
201,336,48,72,72,48,48,48,psychic,NA,NA,Levitate,NA,NA,5,Non-legendary,2
202,405,190,33,33,58,58,33,psychic,NA,50,Shadow Tag,NA,Telepathy,28.5,Non-legendary,2
203,455,70,80,90,65,65,85,normal,psychic,50,Inner Focus,Early Bird,Sap Sipper,41.5,Non-legendary,2
204,290,50,65,35,90,35,15,bug,NA,50,Sturdy,NA,Overcoat,7.2,Non-legendary,2
205,465,75,90,60,140,60,40,bug,steel,50,Sturdy,NA,Overcoat,125.8,Non-legendary,2
206,415,100,70,65,70,65,45,normal,NA,50,Serene Grace,Run Away,Rattled,14,Non-legendary,2
207,430,65,75,35,105,65,85,ground,flying,50,Hyper Cutter,Sand Veil,Immunity,64.8,Non-legendary,2
208,610,75,125,55,230,95,30,steel,ground,50,Rock Head,Sturdy,Sheer Force,400,Non-legendary,2
209,300,60,80,40,50,40,30,fairy,NA,24.6,Intimidate,Run Away,Rattled,7.8,Non-legendary,2
210,450,90,120,60,75,60,45,fairy,NA,24.6,Intimidate,Quick Feet,Rattled,48.7,Non-legendary,2
211,440,65,95,55,85,55,85,water,poison,50,Poison Point,Swift Swim,Intimidate,3.9,Non-legendary,2
212,600,70,150,65,140,100,75,bug,steel,50,Swarm,Technician,Light Metal,118,Non-legendary,2
213,505,20,10,10,230,230,5,bug,rock,50,Sturdy,Gluttony,Contrary,20.5,Non-legendary,2
214,600,80,185,40,115,105,75,bug,fighting,50,Swarm,Guts,Moxie,54,Non-legendary,2
215,430,55,95,35,55,75,115,dark,ice,50,Inner Focus,Keen Eye,Pickpocket,28,Non-legendary,2
216,330,60,80,50,50,50,40,normal,NA,50,Pickup,Quick Feet,Honey Gather,8.8,Non-legendary,2
217,500,90,130,75,75,75,55,normal,NA,50,Guts,Quick Feet,Unnerve,125.8,Non-legendary,2
218,250,40,40,70,40,40,20,fire,NA,50,Magma Armor,Flame Body,Weak Armor,35,Non-legendary,2
219,430,60,50,90,120,80,30,fire,rock,50,Magma Armor,Flame Body,Weak Armor,55,Non-legendary,2
220,250,50,50,30,40,30,50,ice,ground,50,Oblivious,Snow Cloak,Thick Fat,6.5,Non-legendary,2
221,450,100,100,60,80,60,50,ice,ground,50,Oblivious,Snow Cloak,Thick Fat,55.8,Non-legendary,2
222,410,65,55,65,95,95,35,water,rock,24.6,Hustle,Natural Cure,Regenerator,5,Non-legendary,2
223,300,35,65,65,35,35,65,water,NA,50,Hustle,Sniper,Moody,12,Non-legendary,2
224,480,75,105,105,75,75,45,water,NA,50,Suction Cups,Sniper,Moody,28.5,Non-legendary,2
225,330,45,55,65,45,45,75,ice,flying,50,Vital Spirit,Hustle,Insomnia,16,Non-legendary,2
226,485,85,40,80,70,140,70,water,flying,50,Swift Swim,Water Absorb,Water Veil,220,Non-legendary,2
227,465,65,80,40,140,70,70,steel,flying,50,Keen Eye,Sturdy,Weak Armor,50.5,Non-legendary,2
228,330,45,60,80,30,50,65,dark,fire,50,Early Bird,Flash Fire,Unnerve,10.8,Non-legendary,2
229,600,75,90,140,90,90,115,dark,fire,50,Early Bird,Flash Fire,Unnerve,35,Non-legendary,2
230,540,75,95,95,95,95,85,water,dragon,50,Swift Swim,Sniper,Damp,152,Non-legendary,2
231,330,90,60,40,60,40,40,ground,NA,50,Pickup,NA,Sand Veil,33.5,Non-legendary,2
232,500,90,120,60,120,60,50,ground,NA,50,Sturdy,NA,Sand Veil,120,Non-legendary,2
233,515,85,80,105,90,95,60,normal,NA,NA,Trace,Download,Analytic,32.5,Non-legendary,2
234,465,73,95,85,62,65,85,normal,NA,50,Intimidate,Frisk,Sap Sipper,71.2,Non-legendary,2
235,250,55,20,20,35,45,75,normal,NA,50,Own Tempo,Technician,Moody,58,Non-legendary,2
236,210,35,35,35,35,35,35,fighting,NA,100,Guts,Steadfast,Vital Spirit,21,Non-legendary,2
237,455,50,95,35,95,110,70,fighting,NA,100,Intimidate,Technician,Steadfast,48,Non-legendary,2
238,305,45,30,85,15,65,65,ice,psychic,0,Oblivious,Forewarn,Hydration,6,Non-legendary,2
239,360,45,63,65,37,55,95,electric,NA,75.4,Static,NA,Vital Spirit,23.5,Non-legendary,2
240,365,45,75,70,37,55,83,fire,NA,75.4,Flame Body,NA,Vital Spirit,21.4,Non-legendary,2
241,490,95,80,40,105,70,100,normal,NA,0,Thick Fat,Scrappy,Sap Sipper,75.5,Non-legendary,2
242,540,255,10,75,10,135,55,normal,NA,0,Natural Cure,Serene Grace,Healer,46.8,Non-legendary,2
243,580,90,85,115,75,100,115,electric,NA,NA,Pressure,NA,Inner Focus,178,Legendary,2
244,580,115,115,90,85,75,100,fire,NA,NA,Pressure,NA,Inner Focus,198,Legendary,2
245,580,100,75,90,115,115,85,water,NA,NA,Pressure,NA,Inner Focus,187,Legendary,2
246,300,50,64,45,50,50,41,rock,ground,50,Guts,NA,Sand Veil,72,Non-legendary,2
247,410,70,84,65,70,70,51,rock,ground,50,Shed Skin,NA,NA,152,Non-legendary,2
248,700,100,164,95,150,120,71,rock,dark,50,Sand Stream,NA,Unnerve,202,Non-legendary,2
249,680,106,90,90,130,154,110,psychic,flying,NA,Pressure,NA,Multiscale,216,Legendary,2
250,680,106,130,110,90,154,90,fire,flying,NA,Pressure,NA,Regenerator,199,Legendary,2
251,600,100,100,100,100,100,100,psychic,grass,NA,Natural Cure,NA,NA,5,Legendary,2
252,310,40,45,65,35,55,70,grass,NA,88.1,Overgrow,NA,Unburden,5,Non-legendary,3
253,405,50,65,85,45,65,95,grass,NA,88.1,Overgrow,NA,Unburden,21.6,Non-legendary,3
254,630,70,110,145,75,85,145,grass,NA,88.1,Overgrow,NA,Unburden,52.2,Non-legendary,3
255,310,45,60,70,40,50,45,fire,NA,88.1,Blaze,NA,Speed Boost,2.5,Non-legendary,3
256,405,60,85,85,60,60,55,fire,fighting,88.1,Blaze,NA,Speed Boost,19.5,Non-legendary,3
257,630,80,160,130,80,80,100,fire,fighting,88.1,Blaze,NA,Speed Boost,52,Non-legendary,3
258,310,50,70,50,50,50,40,water,NA,88.1,Torrent,NA,Damp,7.6,Non-legendary,3
