neighborhood,population,white,black,foreignborn,hhincome,poverty,collegegrad,npov
ECCO,2608,0.88,0.004,0.061,72568,0.085,0.774,222
CARAG,5737,0.899,0.011,0.05,50696,0.049,0.603,281
Cleveland,2895,0.515,0.296,0.047,49744,0.09,0.372,261
Audubon Park,5073,0.769,0.038,0.119,69056,0.053,0.44,269
Regina,2344,0.58,0.225,0.096,83077,0.083,0.537,195
East Harriet,3648,0.879,0.014,0.053,83266,0.042,0.654,153
Northrop,4511,0.822,0.088,0.047,75428,0.049,0.608,221
Sheridan,2874,0.669,0.153,0.177,43524,0.065,0.332,187
Logan Park,2139,0.691,0.064,0.15,50987,0.1,0.378,214
Windom Park,5548,0.799,0.064,0.098,60922,0.058,0.499,322
King Field,7686,0.81,0.044,0.069,74606,0.037,0.64,284
Morris Park,2914,0.769,0.1,0.042,62045,0.074,0.37,216
Central,8618,0.249,0.222,0.326,42856,0.053,0.264,457
Mid - City Industrial,240,0.631,0.158,0.189,38875,0.067,0.568,16
Midtown Phillips,4949,0.246,0.297,0.36,46055,0.135,0.236,668
West Calhoun,1976,0.854,0.033,0.09,72500,0.075,0.683,148
Bryn - Mawr,2791,0.83,0.055,0.053,101250,0.05,0.746,140
Powderhorn Park,9175,0.461,0.131,0.206,50432,0.043,0.374,395
Northeast Park,670,0.611,0.122,0.151,50208,0.089,0.394,60
Corcoran,4339,0.497,0.136,0.151,54722,0.071,0.329,308
St. Anthony West,2511,0.763,0.057,0.121,67191,0.057,0.582,143
St. Anthony East,2142,0.589,0.193,0.197,30245,0.076,0.356,163
Kenny,3548,0.852,0.008,0.077,103903,0.048,0.628,170
Armatage,4864,0.827,0.018,0.085,99818,0.05,0.622,243
Beltrami,1243,0.611,0.122,0.151,50208,0.089,0.394,111
Cedar - Isles - Dean,2984,0.881,0.02,0.086,118750,0.089,0.758,266
Kenwood,1512,0.881,0.02,0.086,118750,0.089,0.758,135
Lowry Hill,3860,0.856,0.03,0.081,75645,0.08,0.837,309
East Isles,3261,0.899,0.005,0.087,82145,0.071,0.79,232
Elliot Park,6749,0.571,0.315,0.196,31531,0.047,0.354,317
Waite Park,5362,0.855,0.017,0.087,73477,0.055,0.463,295
Nicollet Island - East Bank,1393,0.782,0.031,0.138,83520,0.076,0.734,106
Marcy Holmes,10496,0.735,0.058,0.174,27104,0.042,0.587,441
Como,16022,0.791,0.075,0.076,67600,0.037,0.549,593
McKinley,3198,0.22,0.416,0.161,42556,0.101,0.122,323
Whittier,14604,0.549,0.187,0.215,35855,0.038,0.399,555
Lyndale,7441,0.515,0.226,0.285,38441,0.083,0.39,618
Columbia Park,1699,0.751,0.067,0.13,66545,0.058,0.418,99
Marshall Terrace,1587,0.687,0.122,0.118,43913,0.063,0.409,100
